round,cat,val,q,a,dd,x,y
jeopardy,"Puns",200,"What do you call a fish wearing a crown?","Sofishticated",true,1,1
jeopardy,"Puns",400,"Why did the scarecrow win an award?","Because he was outstanding in his field",false,1,2
jeopardy,"Puns",600,"Why don't skeletons fight each other?","They don't have the guts",false,1,3
jeopardy,"Puns",800,"What did one hat say to the other hat?","You stay here, I'll go on ahead",false,1,4
jeopardy,"Puns",1000,"Why did the bicycle fall over?","Because it was two-tired",false,1,5
jeopardy,"Medical Diagnosis",200,"What condition is characterized by inflammation of the joints?","Arthritis",false,2,1
jeopardy,"Medical Diagnosis",400,"What condition is characterized by an irregular heartbeat?","Arrhythmia",false,2,2
jeopardy,"Medical Diagnosis",600,"What condition is characterized by a persistent cough, shortness of breath, and wheezing?","Asthma",false,2,3
jeopardy,"Medical Diagnosis",800,"What condition is characterized by high blood pressure?","Hypertension",false,2,4
jeopardy,"Medical Diagnosis",1000,"What condition is characterized by the loss of bone density?","Osteoporosis",false,2,5
jeopardy,"Common Scams",200,"What is a fraudulent scheme in which a person offers a large sum of money in exchange for a small initial payment?","Advance fee scam",false,3,1
jeopardy,"Common Scams",400,"What is a scam in which someone pretends to be a trustworthy entity to deceive individuals into revealing personal information?","Phishing",false,3,2
jeopardy,"Common Scams",600,"What is a scam that involves deceiving victims into sending money or personal information by posing as a romantic partner online?","Romance scam",false,3,3
jeopardy,"Common Scams",800,"What is a scam that involves fraudulent investment schemes promising high returns with little risk?","Ponzi scheme",false,3,4
jeopardy,"Common Scams",1000,"What is a scam that involves someone pretending to be a government official and demanding payment or personal information?","Impersonation scam",false,3,5
jeopardy,"Cats",200,"What is the term for a cat's retractable claws?","Sheathed claws",false,4,1
jeopardy,"Cats",400,"What is the name for a male cat?","Tom",false,4,2
jeopardy,"Cats",600,"What is the name for a female cat?","Queen",false,4,3
jeopardy,"Cats",800,"What is the term for a group of cats?","Clowder",false,4,4
jeopardy,"Cats",1000,"What is the name for a cat's sensitive organ located on the roof of its mouth?","Jacobson's organ",false,4,5
jeopardy,"Recipes",200,"Eggs, bacon, bread, and lettuce","BLT sandwich",false,5,1
jeopardy,"Recipes",400,"Rice, chicken, onions, and soy sauce","Chicken fried rice",false,5,2
jeopardy,"Recipes",600,"Ground beef, tomatoes, onions, and kidney beans","Chili con carne",false,5,3
jeopardy,"Recipes",800,"Flour, butter, sugar, and eggs","Cake",false,5,4
jeopardy,"Recipes",1000,"Pasta, ground meat, tomatoes, and cheese","Lasagna",false,5,5
jeopardy,"Cleaning Tips",200,"What can you use to clean windows effectively?","Vinegar and water solution",false,6,1
jeopardy,"Cleaning Tips",400,"What can you use to remove stains from carpets?","Baking soda and vinegar",false,6,2
jeopardy,"Cleaning Tips",600,"What can you use to remove soap scum from shower doors?","White vinegar",false,6,3
jeopardy,"Cleaning Tips",800,"What can you use to clean stainless steel appliances?","Microfiber cloth and dish soap",false,6,4
jeopardy,"Cleaning Tips",1000,"What can you use to unclog a drain?","Baking soda and hot water",false,6,5
double,"Coffee",400,"What is the primary ingredient in espresso?","Finely ground coffee beans",true,1,1
double,"Coffee",800,"What is the term for a small amount of concentrated coffee?","Shot",true,1,2
double,"Coffee",1200,"What is the process of pouring water over coffee grounds to extract flavor?","Pour-over",false,1,3
double,"Coffee",1600,"What is the traditional brewing method in Turkey?","Turkish coffee",false,1,4
double,"Coffee",2000,"What is the name for the foam on top of an espresso shot?","Crema",false,1,5
double,"Puns",400,"Why did the tomato turn red?","Because it saw the salad dressing",false,2,1
double,"Puns",800,"What did one wall say to the other wall?","I'll meet you at the corner",false,2,2
double,"Puns",1200,"Why don't scientists trust atoms?","Because they make up everything",false,2,3
double,"Puns",1600,"What do you call fake spaghetti?","An impasta",false,2,4
double,"Puns",2000,"Why was the math book sad?","Because it had too many problems",false,2,5
double,"Medical Diagnosis",400,"What condition is characterized by the inability to fall asleep or stay asleep?","Insomnia",false,3,1
double,"Medical Diagnosis",800,"What condition is characterized by an abnormally fast heart rate?","Tachycardia",false,3,2
double,"Medical Diagnosis",1200,"What condition is characterized by a severe, prolonged headache often accompanied by nausea and sensitivity to light?","Migraine",false,3,3
double,"Medical Diagnosis",1600,"What condition is characterized by the inflammation of the liver?","Hepatitis",false,3,4
double,"Medical Diagnosis",2000,"What condition is characterized by the inability to control or coordinate movements?","Ataxia",false,3,5
double,"Common Scams",400,"What is a scam that involves selling fake or counterfeit products?","Counterfeit scam",false,4,1
double,"Common Scams",800,"What is a scam that involves fake job offers with the intention of obtaining personal information?","Job scam",false,4,2
double,"Common Scams",1200,"What is a scam that involves sending unsolicited emails or messages to deceive recipients into revealing personal information?","Spam scam",false,4,3
double,"Common Scams",1600,"What is a scam that involves selling nonexistent or fraudulent investment opportunities?","Investment scam",false,4,4
double,"Common Scams",2000,"What is a scam that involves offering fake or substandard products or services?","Product scam",false,4,5
double,"Cats",400,"What is the term for a cat's soft, thick fur underneath the longer outer fur?","Undercoat",false,5,1
double,"Cats",800,"What is the term for a cat's vibrating tail movement when it's excited?","Tail quiver",false,5,2
double,"Cats",1200,"What is the name for a cat breed with no tail?","Manx",false,5,3
double,"Cats",1600,"What is the term for a cat's kneading behavior with its paws?","Making biscuits",false,5,4
double,"Cats",2000,"What is the name for a cat breed with curly or wavy fur?","Rex",false,5,5
double,"Recipes",400,"Potatoes, cream, butter, and garlic","Mashed potatoes",false,6,1
double,"Recipes",800,"Flour, yeast, water, and salt","Bread",false,6,2
double,"Recipes",1200,"Ground beef, onions, breadcrumbs, and egg","Meatballs",false,6,3
double,"Recipes",1600,"Tomatoes, mozzarella cheese, basil, and olive oil","Caprese salad",false,6,4
double,"Recipes",2000,"Avocado, lime juice, onion, and tomato","Guacamole",false,6,5
final,"Final Category",0,"Which planet is known as the 'Red Planet'?","Mars",false,1,1